,image,label,result
66,./occ-face-resize/009/background_1/front/normal/025.jpg,9,8
67,./occ-face-resize/009/background_1/front/normal/026.jpg,9,8
68,./occ-face-resize/009/background_1/front/normal/027.jpg,9,8
69,./occ-face-resize/009/background_1/front/normal/028.jpg,9,8
70,./occ-face-resize/009/background_1/front/normal/029.jpg,9,8
71,./occ-face-resize/009/background_1/front/normal/030.jpg,9,8
72,./occ-face-resize/009/background_2/front/normal/033.jpg,9,8
73,./occ-face-resize/009/background_2/front/normal/034.jpg,9,8
74,./occ-face-resize/009/background_2/front/normal/035.jpg,9,8
75,./occ-face-resize/009/background_2/front/normal/036.jpg,9,8
76,./occ-face-resize/009/background_2/front/normal/037.jpg,9,8
77,./occ-face-resize/009/background_2/front/normal/038.jpg,9,8
78,./occ-face-resize/009/background_2/front/normal/039.jpg,9,8
79,./occ-face-resize/009/background_2/front/normal/040.jpg,9,8
80,./occ-face-resize/002/background_1/front/normal/033.jpg,2,10
81,./occ-face-resize/002/background_1/front/normal/034.jpg,2,10
82,./occ-face-resize/002/background_1/front/normal/035.jpg,2,10
83,./occ-face-resize/002/background_1/front/normal/036.jpg,2,10
84,./occ-face-resize/002/background_1/front/normal/037.jpg,2,10
85,./occ-face-resize/002/background_1/front/normal/038.jpg,2,10
86,./occ-face-resize/002/background_1/front/normal/039.jpg,2,10
87,./occ-face-resize/002/background_1/front/normal/040.jpg,2,10
88,./occ-face-resize/002/background_2/front/normal/033.jpg,2,10
89,./occ-face-resize/002/background_2/front/normal/034.jpg,2,10
90,./occ-face-resize/002/background_2/front/normal/035.jpg,2,10
91,./occ-face-resize/002/background_2/front/normal/036.jpg,2,10
92,./occ-face-resize/002/background_2/front/normal/037.jpg,2,10
93,./occ-face-resize/002/background_2/front/normal/038.jpg,2,10
94,./occ-face-resize/002/background_2/front/normal/039.jpg,2,10
95,./occ-face-resize/002/background_2/front/normal/040.jpg,2,10
96,./occ-face-resize/004/background_2/front/normal/033.jpg,4,3
97,./occ-face-resize/004/background_2/front/normal/034.jpg,4,3
98,./occ-face-resize/004/background_2/front/normal/035.jpg,4,3
99,./occ-face-resize/004/background_2/front/normal/036.jpg,4,3
100,./occ-face-resize/004/background_2/front/normal/037.jpg,4,3
101,./occ-face-resize/004/background_2/front/normal/038.jpg,4,3
102,./occ-face-resize/004/background_2/front/normal/039.jpg,4,3
103,./occ-face-resize/004/background_2/front/normal/040.jpg,4,3
104,./occ-face-resize/004/background_1/front/normal/033.jpg,4,3
105,./occ-face-resize/004/background_1/front/normal/034.jpg,4,3
106,./occ-face-resize/004/background_1/front/normal/035.jpg,4,3
107,./occ-face-resize/004/background_1/front/normal/036.jpg,4,3
108,./occ-face-resize/004/background_1/front/normal/037.jpg,4,3
109,./occ-face-resize/004/background_1/front/normal/038.jpg,4,3
110,./occ-face-resize/004/background_1/front/normal/039.jpg,4,3
111,./occ-face-resize/004/background_1/front/normal/040.jpg,4,3
112,./occ-face-resize/006/background_2/front/normal/007.jpg,6,5
113,./occ-face-resize/006/background_2/front/normal/008.jpg,6,5
114,./occ-face-resize/006/background_2/front/normal/009.jpg,6,5
115,./occ-face-resize/006/background_2/front/normal/010.jpg,6,5
116,./occ-face-resize/006/background_2/front/normal/011.jpg,6,5
117,./occ-face-resize/006/background_2/front/normal/012.jpg,6,5
118,./occ-face-resize/006/background_2/front/normal/013.jpg,6,5
119,./occ-face-resize/006/background_2/front/normal/014.jpg,6,5
120,./occ-face-resize/006/background_1/front/normal/033.jpg,6,5
121,./occ-face-resize/006/background_1/front/normal/034.jpg,6,5
122,./occ-face-resize/006/background_1/front/normal/035.jpg,6,5
123,./occ-face-resize/006/background_1/front/normal/036.jpg,6,5
124,./occ-face-resize/006/background_1/front/normal/037.jpg,6,5
125,./occ-face-resize/006/background_1/front/normal/038.jpg,6,5
126,./occ-face-resize/006/background_1/front/normal/039.jpg,6,5
127,./occ-face-resize/006/background_1/front/normal/040.jpg,6,5
128,./occ-face-resize/008/background_2/front/normal/033.jpg,8,7
129,./occ-face-resize/008/background_2/front/normal/034.jpg,8,7
130,./occ-face-resize/008/background_2/front/normal/035.jpg,8,7
131,./occ-face-resize/008/background_2/front/normal/036.jpg,8,7
132,./occ-face-resize/008/background_2/front/normal/037.jpg,8,7
133,./occ-face-resize/008/background_2/front/normal/038.jpg,8,7
134,./occ-face-resize/008/background_2/front/normal/039.jpg,8,7
135,./occ-face-resize/008/background_2/front/normal/040.jpg,8,7
136,./occ-face-resize/008/background_1/front/normal/033.jpg,8,7
137,./occ-face-resize/008/background_1/front/normal/034.jpg,8,7
138,./occ-face-resize/008/background_1/front/normal/035.jpg,8,7
139,./occ-face-resize/008/background_1/front/normal/036.jpg,8,7
140,./occ-face-resize/008/background_1/front/normal/037.jpg,8,7
141,./occ-face-resize/008/background_1/front/normal/038.jpg,8,7
142,./occ-face-resize/008/background_1/front/normal/039.jpg,8,7
143,./occ-face-resize/008/background_1/front/normal/040.jpg,8,7
144,./occ-face-resize/010/background_2/front/normal/033.jpg,10,9
145,./occ-face-resize/010/background_2/front/normal/034.jpg,10,9
146,./occ-face-resize/010/background_2/front/normal/035.jpg,10,9
147,./occ-face-resize/010/background_2/front/normal/036.jpg,10,9
148,./occ-face-resize/010/background_2/front/normal/037.jpg,10,9
149,./occ-face-resize/010/background_2/front/normal/038.jpg,10,9
150,./occ-face-resize/010/background_2/front/normal/039.jpg,10,9
151,./occ-face-resize/010/background_2/front/normal/040.jpg,10,9
152,./occ-face-resize/010/background_1/front/normal/033.jpg,10,9
153,./occ-face-resize/010/background_1/front/normal/034.jpg,10,9
154,./occ-face-resize/010/background_1/front/normal/035.jpg,10,9
155,./occ-face-resize/010/background_1/front/normal/036.jpg,10,9
156,./occ-face-resize/010/background_1/front/normal/037.jpg,10,9
157,./occ-face-resize/010/background_1/front/normal/038.jpg,10,9
158,./occ-face-resize/010/background_1/front/normal/039.jpg,10,9
159,./occ-face-resize/010/background_1/front/normal/040.jpg,10,9
